MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
14.556,0.46777,0.51427,0.20063,166660000.0,309,0.40367
3.2626,0.036382,0.12412,0.0037653,2.4967,310,0.19825
8.8871,1.5304,1.174,0.46574,0.40995,311,0.43161
8.1504,1.5205,0.15711,0.022757,9.2532,312,0.35054
3.0986,0.022182,0.94096,0.36204,8.1905,313,0.35664
8.0251,1.7301,4.5168,0.46227,1810600000.0,314,0.44187
19.025,2.0538,1.1726,0.31546,4.2718e-06,315,0.41645
21.723,2.2154,1.7149,0.26631,441270000.0,316,0.42257
7.1701,0.90424,0.21087,0.03015,355.69,317,0.42957
3.5707,0.18718,0.22279,0.050591,5.2612,318,0.31863
16.031,2.5636,0.56575,0.13023,8.5452e-05,319,0.42006
15.649,0.48575,6.2957,0.47159,0.84988,320,0.28322
27.415,0.44967,0.44158,0.13907,0.11232,321,0.35465
6.5991,0.15273,1.0621,0.46074,2.5953e-05,322,0.38756
12.292,1.6607,0.13208,0.010829,1.2623e-09,323,0.27054
24.393,0.37317,0.85521,0.32316,5.7507,324,0.38107
10.367,0.68205,2.8213,0.14041,0.52967,325,0.37746
7.1122,1.792,0.33017,0.083909,5.6086e-10,326,0.38402
4.4216,0.1555,7.7023,0.1349,4002200000.0,327,0.34841
4.6579,0.14935,0.25961,0.055388,0.13044,328,0.32871
3.6869,0.0096027,0.96311,0.64417,1.7827,329,0.36247
3.9063,0.23318,5.5999,0.76165,0.21768,330,0.29905
20.792,1.9435,0.41911,0.19418,0.00010722,331,0.35913
29.988,0.0018478,0.7849,0.03524,0.44071,332,0.38908
27.96,0.46816,0.40145,0.064378,22470000.0,333,0.40107
5.8477,1.0665,0.23962,0.018802,6.6272e-07,334,0.36548
16.155,2.7148,0.83214,0.37114,7418.3,335,0.44728
19.055,2.9466,0.25434,0.072333,3.959e-10,336,0.33134
5.8717,0.18244,3.8286,0.57266,33395000.0,337,0.39044
7.6806,1.9306,1.9449,0.024279,3.0959,338,0.43426
8.7137,2.3033,2.6765,0.23613,0.21645,339,0.38233
18.787,0.7736,0.19507,0.025419,5.2368e-09,340,0.27858
24.817,0.61575,0.15578,0.011995,3.6683,341,0.247
6.0856,0.80612,0.45372,0.08407,0.57052,342,0.40607
8.0448,0.7035,6.0978,0.69675,0.70448,343,0.3092
3.1718,0.053893,2.3972,1.3005,135.26,344,0.3407
4.6613,0.41994,5.64,0.52385,3.6629,345,0.32822
5.6954,0.23844,4.0634,0.11406,1.2362,346,0.34345
10.535,1.3175,5.5629,0.50959,7.0916e-08,347,0.32829
16.382,2.591,0.11816,0.0049486,0.29089,348,0.26426
18.055,1.2259,0.18575,0.031142,2.0822e-08,349,0.28005
15.226,2.303,0.15004,0.010978,206.98,350,0.41941
7.8269,1.8024,2.2028,0.52716,1.2633e-05,351,0.42555
6.0562,1.0813,0.24276,0.051172,0.009578,352,0.35848
6.0086,1.0425,0.8265,0.16379,0.17048,353,0.44145
3.0858,0.010072,0.11156,0.0025671,7.6536,354,0.23838
27.948,0.20214,0.30297,0.023675,0.12439,355,0.31786
7.6525,1.5077,0.86737,0.50696,1602500000.0,356,0.45526
6.9012,1.2028,2.6095,1.1478,1.2437,357,0.40415
3.1293,0.023587,3.4477,0.3692,5.0505e-06,358,0.33042
3.0482,0.010706,0.10108,0.00021794,0.77686,359,0.19829
21.431,1.5291,0.25929,0.041698,0.54719,360,0.33372
24.334,0.19329,0.73171,0.086814,1.6481,361,0.38801
3.321,0.054124,0.13829,0.0063785,189120000.0,362,0.36634
6.406,0.43143,1.8377,1.2687,3.5897,363,0.38982
15.577,3.2599,0.94389,0.064836,0.0041571,364,0.45965
5.7354,0.80188,6.2046,0.25247,0.0081566,365,0.32179
11.057,0.58126,0.48602,0.0011401,5.9863,366,0.39301
6.6692,1.1065,0.11603,0.0001443,33.648,367,0.368
14.122,1.0859,0.35063,0.073364,9.3912e-08,368,0.36744
7.5532,1.2542,0.55341,0.071564,1.0125e-10,369,0.42543
5.4907,0.11002,5.9831,1.0631,0.00024846,370,0.29147
8.1362,0.025024,0.7134,0.014076,1.2011,371,0.38543
21.557,1.4275,0.80375,0.11037,409640.0,372,0.41079
7.7874,0.60897,1.6822,0.60331,7.2164,373,0.4024
6.432,1.1695,1.9077,0.83044,0.71102,374,0.42098
8.3367,2.2304,0.17549,0.018794,0.0015454,375,0.32481
9.4672,1.8064,2.4116,0.77915,2869800000.0,376,0.44313
5.6313,0.70633,0.17971,0.025274,1.0594,377,0.31836
13.69,2.0854,0.79369,0.17537,27818000.0,378,0.44632
4.0123,0.27479,2.3009,0.66071,0.0048503,379,0.38705
12.127,3.1524,1.1902,0.053854,33661000.0,380,0.45812
23.204,1.6652,0.26161,0.047501,5.6542e-08,381,0.32965
7.6047,0.41201,0.94303,0.032533,8.201,382,0.41719
9.5544,0.67295,6.6713,0.041326,17507.0,383,0.39384
3.3271,0.03809,8.2021,0.48821,0.29404,384,0.23591
4.6287,0.20703,0.48359,0.022467,1776.7,385,0.4115
3.8694,0.32197,4.6802,0.18794,0.21046,386,0.32798
4.6526,0.44794,1.0844,0.093009,0.50353,387,0.41736
7.478,0.82504,0.73149,0.48308,0.98235,388,0.38764
4.954,0.55669,8.7273,0.090759,7140600000.0,389,0.40691
4.3454,0.44813,1.4043,0.6258,0.0015939,390,0.41005
10.093,1.7876,0.29122,0.021751,0.4763,391,0.38067
3.8221,0.020284,4.7353,1.2246,423760.0,392,0.37334
3.1225,0.039139,0.15641,0.012231,0.00066688,393,0.25211
4.8499,0.57682,0.17515,0.001809,6.0402,394,0.33861
6.4169,0.57808,0.1444,0.016859,0.10934,395,0.28146
17.326,2.2754,0.40754,0.083513,0.81129,396,0.39535
14.401,0.39024,6.3303,0.39833,4.2598e-10,397,0.28281
3.2016,0.059609,0.53408,0.0958,0.94647,398,0.36867
8.8218,0.69932,0.11523,0.0012376,2.9742e-10,399,0.25375
9.9896,2.1589,1.7783,0.67694,2.0793e-08,400,0.43066
3.8651,0.080826,0.12281,0.0062497,64402000.0,401,0.37725
14.168,2.2747,0.7793,0.071027,0.5006,402,0.42872
4.6158,0.37649,2.5604,0.82666,0.49829,403,0.38403
7.5169,1.6466,0.61785,0.052395,9.411,404,0.44939
5.3655,0.23847,0.10988,0.00060529,4.4079,405,0.24707
5.7765,0.2951,0.28726,0.053359,0.74347,406,0.34477
4.8059,0.047044,1.3695,0.76591,5.6196,407,0.37945
23.787,0.14494,0.23484,0.048477,6.3286,408,0.29633
4.3427,0.4347,0.16487,0.021152,0.045117,409,0.3011
23.871,1.432,0.10856,0.00070236,5899.2,410,0.37753
5.1977,0.041443,2.9026,0.5411,281190.0,411,0.38588
4.0717,0.30129,0.33329,0.12491,86190000.0,412,0.42109
4.3607,0.2576,4.1223,0.092246,0.14253,413,0.34583
3.9825,0.10215,0.43749,0.084387,19.752,414,0.39677
10.159,2.8123,0.67461,0.088071,1.7653e-07,415,0.41433
10.468,1.4158,0.81413,0.072874,2281100000.0,416,0.44994
3.667,0.062607,3.3509,0.35005,8.2353,417,0.32779
3.1021,0.0052909,6.357,0.037451,1.8335e-08,418,0.26603
4.0624,0.035561,0.1311,0.0071334,1.6265e-05,419,0.24328
6.0553,0.85773,4.1992,0.9969,254450.0,420,0.42649
3.0091,0.0027125,3.2619,0.064241,3.6259e-05,421,0.33336
21.543,0.83771,2.5084,0.28303,0.2977,422,0.35473
3.6047,0.082709,0.51318,0.15677,0.5186,423,0.36881
21.442,0.094272,0.21688,0.01047,6.2974e-05,424,0.28596
3.7831,0.15953,0.2443,0.0062742,0.64103,425,0.30975
4.2602,0.0057804,1.027,0.08051,19311000.0,426,0.39755
